þÿTipo esercizio storico pe;Insegna;Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Forma commercio;Forma commercio prev;Forma vendita;Settore storico pe;Superficie somministrazione
;;"ALZ NAVIGLIO GRANDE N. 12 ; isolato:057; (z.d. 6)";ALZ;NAVIGLIO GRANDE;12;5144;6;;;;"Ristorante, trattoria, osteria;Genere Merceol.Autorizz.Sanit.;Ristorante";83
;;ALZ NAVIGLIO GRANDE N. 44 (z.d. 6);ALZ;NAVIGLIO GRANDE;44;5144;6;;;;Bar gastronomici e simili;26
;;ALZ NAVIGLIO GRANDE N. 48 (z.d. 6);ALZ;NAVIGLIO GRANDE;48;5144;6;;;;Bar gastronomici e simili;58
;;ALZ NAVIGLIO GRANDE N. 8 (z.d. 6);ALZ;NAVIGLIO GRANDE;8;5144;6;;;;"BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";101
;;ALZ NAVIGLIO PAVESE N. 24 (z.d. 6);ALZ;NAVIGLIO PAVESE;24;5161;6;;;;Bar gastronomici e simili;51
;;ALZ NAVIGLIO PAVESE N. 6 (z.d. 6);ALZ;NAVIGLIO PAVESE;6;5161;6;;;;"Bar gastronomici e simili;Bar pasticc.gelat.crem.creper.";20
;;"BST DI PORTA NUOVA N. 10 con ingr.su piazza xxv aprile; (z.d. 1)";BST;DI PORTA NUOVA;10;1062;1;;;;"Bar gastronomici e simili;Tavola fredda;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;BAR CAFFÿý";341
;;BST DI PORTA VOLTA N. 9 (z.d. 1);BST;DI PORTA VOLTA;9;1066;1;;;;"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFFÿý;Tavola fredda;Cibi cotti preconfezionati";51
;;BST DI PORTA VOLTA N. 9 (z.d. 1);BST;DI PORTA VOLTA;9;1066;1;;;;"Wine,birr.,pub enot.,caff.,the;BAR CAFFÿý;Genere Merceol.Autorizz.Sanit.;Tavola fredda";26
;;"BST DI PORTA VOLTA num.018/a ; (z.d. 1)";BST;DI PORTA VOLTA;;1066;1;;;;"BAR CAFFÿý E SIMILI;Ristorante, trattoria, osteria";115
;;"codvia 6511 parco villa scheibler; (z.d. 7)";VIA;CALDERA;21;6302;7;;;;Genere Merceol.Autorizz.Sanit.;100
;;"codvia 9401 ff central; (z.d. 2)";VLE;MONZA;37;2274;2;;;;Bar gastronomici e simili;52
;;"CSO BUENOS AIRES N. 3 c/o hotel; (z.d. 3)";CSO;BUENOS AIRES;3;2129;3;;;;"Ristorante;BAR CAFFÿý;Ristorante, trattoria, osteria";179
;;CSO COLOMBO CRISTOFORO N. 1 (z.d. 6);CSO;COLOMBO CRISTOFORO;1;5114;6;;;;Bar gastronomici e simili;36
