Tipo esercizio storico,Insegna,Tipo via,Nome via,Civico,Codice via,ZD,Forma commercio,Forma commercio prev,Forma vendita,Settore storico,Superficie somministrazione,Isolato,Accesso
"ristorante, trattoria, osteria",,ALZ,NAVIGLIO GRANDE,12,5144,6,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria;genere merceol.autorizz.sanit.;ristorante",83, 057,
bar gastronomici e simili,,ALZ,NAVIGLIO GRANDE,44,5144,6,somministrazione,somministrazione,misto,bar gastronomici e simili,26,,
bar gastronomici e simili,,ALZ,NAVIGLIO GRANDE,48,5144,6,somministrazione,somministrazione,misto,bar gastronomici e simili,58,,
bar-caffe',,ALZ,NAVIGLIO GRANDE,8,5144,6,somministrazione,somministrazione,misto,"bar-caffe';ristorante, trattoria, osteria",101,,
bar gastronomici e simili,,ALZ,NAVIGLIO PAVESE,24,5161,6,somministrazione,somministrazione,misto,bar gastronomici e simili,51,,
bar gastronomici e simili,,ALZ,NAVIGLIO PAVESE,6,5161,6,somministrazione,somministrazione,misto,bar gastronomici e simili;bar pasticc.gelat.crem.creper.,20,,
bar gastronomici e simili,,BST,DI PORTA NUOVA,10,1062,1,somministrazione,somministrazione,misto,bar gastronomici e simili;tavola fredda;genere merceol.autorizz.sanit.;cibi cotti preconfezionati;bar-caffe',86,,
genere merceol.autorizz.sanit.,,BST,DI PORTA VOLTA,9,1066,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar gastronomici e simili;bar-caffe';tavola fredda;cibi cotti preconfezionati,51,,
"wine,birr.,pub enot.,caff.,the",,BST,DI PORTA VOLTA,9,1066,1,somministrazione,somministrazione,misto,"wine,birr.,pub enot.,caff.,the;bar-caffe';genere merceol.autorizz.sanit.;tavola fredda",26,,
bar-caffe',,BST,DI PORTA VOLTA,018/a,1066,1,somministrazione,somministrazione,misto,"bar-caffe';ristorante, trattoria, osteria",115,,
genere merceol.autorizz.sanit.,,VIA,CALDERA,21,6302,7,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,100,,
bar gastronomici e simili,,VLE,MONZA,37,2274,2,somministrazione,somministrazione,misto,bar gastronomici e simili,52,,
ristorante,,CSO,BUENOS AIRES,3,2129,3,somministrazione,somministrazione,misto,"ristorante;bar-caffe';ristorante, trattoria, osteria",179,,
bar gastronomici e simili,,CSO,COLOMBO CRISTOFORO,1,5114,6,somministrazione,somministrazione,misto,bar gastronomici e simili,36,,
cibi cotti preconfezionati,,CSO,COLOMBO CRISTOFORO,3,5114,6,somministrazione,somministrazione,misto,cibi cotti preconfezionati;genere merceol.autorizz.sanit.;bar gastronomici e simili;tavola fredda;bar-caffe',34,,
"ristorante, trattoria, osteria",,CSO,COLOMBO CRISTOFORO,6,5114,6,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria",37,,
bar gastronomici e simili,,CSO,COMO,15,1111,9,somministrazione,somministrazione,misto,"bar gastronomici e simili;bar-caffe';ristorante, trattoria, osteria",119,,
genere merceol.autorizz.sanit.,,CSO,CONCORDIA,10,3116,4,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,53,,
"ristorante, trattoria, osteria",,CSO,DI PORTA ROMANA,111,402,1,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria;bar-caffe'",35,,
"ristorante, trattoria, osteria",,CSO,DI PORTA ROMANA,132,402,1,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria",42,,
bar gastronomici e simili,,CSO,DI PORTA ROMANA,51,402,1,somministrazione,somministrazione,misto,bar gastronomici e simili,24,,
"ristorante, trattoria, osteria",,CSO,DI PORTA TICINESE,1,541,1,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria;bar-caffe'",185,,
bar-caffe',,CSO,DI PORTA TICINESE,38,541,1,somministrazione,somministrazione,misto,bar-caffe';tavola fredda,10,,
genere merceol.autorizz.sanit.,,CSO,DI PORTA TICINESE,59,541,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,41,,
ristorante,,CSO,DI PORTA TICINESE,6,541,1,somministrazione,somministrazione,misto,"ristorante;ristorante, trattoria, osteria;bar-caffe'",78,,
tavola calda,,CSO,DI PORTA TICINESE,83,541,1,somministrazione,somministrazione,misto,"tavola calda;genere merceol.autorizz.sanit.;tav.calde,self service,fast f.",16,,
bar pasticc.gelat.crem.creper.,,CSO,DI PORTA VIGENTINA,10,4026,1,somministrazione,somministrazione,misto,bar pasticc.gelat.crem.creper.,15,,
genere merceol.autorizz.sanit.,,CSO,DI PORTA VIGENTINA,2,4026,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,31,,
genere merceol.autorizz.sanit.,,CSO,DI PORTA VIGENTINA,6,4026,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,16,,
cibi cotti preconfezionati,,CSO,DI PORTA VITTORIA,18,3016,1,somministrazione,somministrazione,misto,cibi cotti preconfezionati;genere merceol.autorizz.sanit.;bar-caffe';tavola fredda,60,,
bar pasticc.gelat.crem.creper.,,CSO,DI PORTA VITTORIA,47,3016,1,somministrazione,somministrazione,misto,bar pasticc.gelat.crem.creper.,98,,
genere merceol.autorizz.sanit.,,CSO,DI PORTA VITTORIA,51,3016,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,53,,
genere merceol.autorizz.sanit.,,CSO,EUROPA,18,300,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,86,,
genere merceol.autorizz.sanit.,,CSO,EUROPA,22,300,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,34,,
"ristorante, trattoria, osteria",,CSO,EUROPA,5,300,1,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria",185,,
bar pasticc.gelat.crem.creper.,,CSO,GARIBALDI GIUSEPPE,104,1010,1,somministrazione,somministrazione,misto,bar pasticc.gelat.crem.creper.;bar-caffe';gelateria;genere merceol.autorizz.sanit.;tavola fredda,32,,
"ristorante, trattoria, osteria",,CSO,GARIBALDI GIUSEPPE,34,1010,1,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria;bar-caffe'",58,,
bar gastronomici e simili,,CSO,GARIBALDI GIUSEPPE,36,1010,1,somministrazione,somministrazione,misto,bar gastronomici e simili;bar-caffe',58,,
bar-caffe',,CSO,GARIBALDI GIUSEPPE,59,1010,1,somministrazione,somministrazione,misto,bar-caffe';bar gastronomici e simili,117,,
bar gastronomici e simili,,CSO,GARIBALDI GIUSEPPE,59,1010,1,somministrazione,somministrazione,misto,bar gastronomici e simili,38,,
bar-caffe',,CSO,GARIBALDI GIUSEPPE,68,1010,1,somministrazione,somministrazione,misto,"bar-caffe';ristorante;ristorante, trattoria, osteria;wine,birr.,pub enot.,caff.,the",114,,
bar gastronomici e simili,,CSO,GARIBALDI GIUSEPPE,79,1010,1,somministrazione,somministrazione,misto,bar gastronomici e simili,60,,
genere merceol.autorizz.sanit.,,CSO,GARIBALDI GIUSEPPE,81,1010,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,86,,
tavola fredda,,CSO, GARIBALDI GIUSEPPE,051/a,526,1,somministrazione,somministrazione,misto,tavola fredda;genere merceol.autorizz.sanit.;bar-caffe';cibi cotti preconfezionati;bar gastronomici e simili,43,,
bar-caffe',,CSO, GARIBALDI GIUSEPPE,072/3,205,1,somministrazione,somministrazione,misto,bar-caffe';tavola fredda;bar gastronomici e simili,52,,
bar-caffe',,CSO,GENOVA,7,5164,1,somministrazione,somministrazione,misto,bar-caffe',19,,
bar gastronomici e simili,,CSO,INDIPENDENZA,12,3118,4,somministrazione,somministrazione,misto,bar gastronomici e simili;bar-caffe',41,,
bar gastronomici e simili,,CSO,ITALIA,34,526,1,somministrazione,somministrazione,misto,bar gastronomici e simili;bar-caffe',52,,
"ristorante, trattoria, osteria",,CSO,ITALIA,6,526,1,somministrazione,somministrazione,misto,"ristorante, trattoria, osteria;bar-caffe'",97,,
bar gastronomici e simili,,CSO, ITALIA,022/a,402,1,somministrazione,somministrazione,misto,bar gastronomici e simili,82,,
genere merceol.autorizz.sanit.,,CSO,LODI,104,4068,4,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,20,,
genere merceol.autorizz.sanit.,,CSO,LODI,59,4068,4,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,29,,
genere merceol.autorizz.sanit.,,CSO,LODI,83,4068,4,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,21,,
genere merceol.autorizz.sanit.,,CSO,LODI,92,4068,4,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.,36,,
bar gastronomici e simili,,CSO,MAGENTA,24,604,1,somministrazione,somministrazione,misto,bar gastronomici e simili;bar-caffe',186,,
genere merceol.autorizz.sanit.,,CSO,MAGENTA,65,604,1,somministrazione,somministrazione,misto,genere merceol.autorizz.sanit.;bar-caffe';cibi cotti preconfezionati;bar gastronomici e simili;tavola fredda,31,,
